,loc,numFclt,total_cnts,normalized_entropy,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_beds_7_day_avg,inpatient_beds_used_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,previous_day_total_ED_visits_7_day_sum
136,MD_BALTIMORE,10,192829.0,0.959731,"(0.11787391012743126, 0.047283702213279676, 0.1545942320590208, 0.09792085848423876, 0.10588531187122736, 0.0767102615694165, 0.07821931589537223, 0.05943997317236754, 0.13137156270959088, 0.130700871898055)","(0.16091217932488405, 0.04500993693644498, 0.2579847131692125, 0.061546124429308756, 0.11629111500535322, 0.06613316653180233, 0.08973525221285067, 0.055483021159634695, 0.09138010064354281, 0.05552439058696598)","(0.15669586794365514, 0.04612440046601002, 0.28582073744572045, 0.05665501641626194, 0.12477115579562133, 0.056386455449139845, 0.09561526939312787, 0.04751259588761291, 0.06975398302392084, 0.06066451817892969)","(0.14655041721712928, 0.04932660505610851, 0.2822473105970366, 0.05346938396661025, 0.12034478811186432, 0.06361749063311191, 0.09938337876261165, 0.05583624421047421, 0.07285598042157958, 0.05636840102347369)","(0.2819557586595139, 0.026789853632690905, 0.2967249486720975, 0.03775084442678323, 0.0976389164845354, 0.0470229816544142, 0.09664547321014637, 0.045118882045168555, 0.0429167494536062, 0.02743559176104378)","(0.09669349223569798, 0.08945544634616319, 0.14675259484754766, 0.11765467882183396, 0.12063409815891316, 0.08562592094823258, 0.09305018054633483, 0.07893841993620157, 0.09297731431254756, 0.07821785384652752)"
137,MD_SILVER SPRING,2,71318.0,0.967486,"(0.5624039610722212, 0.4375960389277787)","(0.6153982097570889, 0.3846017902429111)","(0.6625267344564932, 0.3374732655435068)","(0.6341427863452176, 0.36585721365478235)","(0.8002592264138072, 0.19974077358619277)","(0.6207958605396082, 0.3792041394603918)"
138,ME_LEWISTON,2,13152.0,0.922051,"(0.662962962962963, 0.337037037037037)","(0.6541648495420846, 0.3458351504579154)","(0.6799358551080087, 0.3200641448919913)","(0.7654723127035831, 0.23452768729641693)","(0.8076152304609219, 0.19238476953907815)","(0.4716948114445708, 0.5283051885554292)"
139,MI_ANN ARBOR,2,83523.0,0.972011,"(0.5884599066610098, 0.4115400933389902)","(0.6575039263074808, 0.3424960736925192)","(0.659136396387217, 0.340863603612783)","(0.6688642609245378, 0.33113573907546223)","(0.8210980469650562, 0.17890195303494386)","(0.5781994414325612, 0.4218005585674388)"
140,MI_DETROIT,5,122308.0,0.943219,"(0.13418822990611404, 0.360430501488436, 0.2058621479276391, 0.14266086558277993, 0.1568582550950309)","(0.19208593896121853, 0.30758742576162945, 0.13403431161276508, 0.24779012938009776, 0.11850219428428926)","(0.13722895305463978, 0.3246122045053961, 0.15352544020424774, 0.25345341476697136, 0.13117998746874507)","(0.15812391319882804, 0.322221957552226, 0.13437507443843644, 0.27468140349205594, 0.11059765131845359)","(0.11295180722891567, 0.5012874076952973, 0.10376991838321026, 0.1642537893509522, 0.11773707734162456)","(0.0627091962279723, 0.5251341148420425, 0.13798162894129515, 0.0748292041755185, 0.19934585581317152)"
141,MI_FLINT,2,42416.0,0.993144,"(0.3370666666666667, 0.6629333333333334)","(0.5073238579562742, 0.49267614204372584)","(0.49991550031495335, 0.5000844996850466)","(0.5156965290474368, 0.48430347095256315)","(0.5288291475061903, 0.4711708524938097)","(0.5529917667418323, 0.4470082332581677)"
142,MI_GRAND RAPIDS,2,98246.0,0.748766,"(0.7747252747252747, 0.22527472527472528)","(0.7040195774841729, 0.2959804225158272)","(0.8173189692725262, 0.18268103072747377)","(0.7908205179943214, 0.20917948200567862)","(0.8741501518877477, 0.12584984811225228)","(0.7205834201518083, 0.2794165798481917)"
143,MI_KALAMAZOO,2,43004.0,0.975791,"(0.5630952380952381, 0.4369047619047619)","(0.6560232220609579, 0.3439767779390421)","(0.6410888138287304, 0.3589111861712696)","(0.6442033635264799, 0.35579663647352006)","(0.6903338829348722, 0.30966611706512776)","(0.8639944891720842, 0.1360055108279158)"
144,MI_LANSING,2,62215.0,0.832084,"(0.26774595267745954, 0.7322540473225405)","(0.2429935275080906, 0.7570064724919094)","(0.18008942215179127, 0.8199105778482088)","(0.19130606840078537, 0.8086939315992147)","(0.13776944704779756, 0.8622305529522024)","(0.16668226923797042, 0.8333177307620295)"
145,MI_PONTIAC,2,31831.0,0.645253,"(0.9227941176470589, 0.07720588235294118)","(0.8012718600953895, 0.1987281399046105)","(0.803245666297841, 0.19675433370215906)","(0.8033185524245459, 0.19668144757545417)","(0.8782416192283365, 0.12175838077166351)","(0.6124282074534698, 0.3875717925465302)"
146,MI_SAGINAW,2,56787.0,0.695056,"(0.7922966162706984, 0.20770338372930167)","(0.7603728174942987, 0.23962718250570134)","(0.7585447749374387, 0.24145522506256137)","(0.7749069671968323, 0.22509303280316775)","(0.7846003898635477, 0.21539961013645223)","(0.9542877674864261, 0.04571223251357394)"
147,MN_DULUTH,2,32657.0,0.816943,"(0.7120204603580562, 0.2879795396419437)","(0.47380008806693086, 0.5261999119330691)","(0.5908928500535948, 0.4091071499464052)","(0.45851910545549157, 0.5414808945445084)","(0.7460628086851179, 0.2539371913148821)","(0.5462810822653084, 0.45371891773469164)"
148,MN_MINNEAPOLIS,3,83291.0,0.95284,"(0.33085795544319796, 0.48728077105387896, 0.18186127350292305)","(0.21687946032085964, 0.40406963926909, 0.37905090041005035)","(0.22196332068882837, 0.3600486926155681, 0.4179879866956035)","(0.20276831999830555, 0.3940090335767351, 0.40322264642495936)","(0.25372542540888815, 0.18906327440938378, 0.557211300181728)","(-0.021015823715719875, 1.0374736106823335, -0.01645778696661355)"
149,MN_SAINT PAUL,2,75012.0,0.99865,"(0.4958801498127341, 0.5041198501872659)","(0.6188236372105099, 0.3811763627894902)","(0.5870817814280712, 0.41291821857192884)","(0.5470993830680699, 0.4529006169319301)","(0.3454493004471369, 0.6545506995528632)","(1.0081442335386457, -0.008144233538645766)"
150,MO_CAPE GIRARDEAU,2,25719.0,0.99712,"(0.5237957888664552, 0.47620421113354483)","(0.44454528952622985, 0.5554547104737703)","(0.4473866964582264, 0.5526133035417736)","(0.33587830636566224, 0.6641216936343377)","(0.3430630951321527, 0.6569369048678473)","(0.47815731066962597, 0.521842689330374)"
151,MO_COLUMBIA,2,44459.0,0.935519,"(0.37078954459714364, 0.6292104554028564)","(0.3522654715127701, 0.6477345284872298)","(0.3092540907349642, 0.6907459092650359)","(0.41016876735740226, 0.5898312326425977)","(0.22981616316022366, 0.7701838368397763)","(0.055082961340857405, 0.9449170386591426)"
152,MO_JEFFERSON CITY,2,16863.0,0.997467,"(0.5008695652173913, 0.4991304347826087)","(0.23586979952575987, 0.7641302004742402)","(0.21248780487804877, 0.7875121951219513)","(0.20234222511385816, 0.7976577748861419)","(0.4076163610719323, 0.5923836389280677)","(0.4271498688899348, 0.5728501311100652)"
153,MO_JOPLIN,2,43944.0,0.999093,"(0.46873731222086884, 0.5312626877791311)","(0.7505879837502673, 0.24941201624973272)","(0.5832063492063492, 0.41679365079365077)","(0.7470905100751479, 0.252909489924852)","(0.703328509406657, 0.29667149059334297)","(0.6471647813243029, 0.3528352186756971)"
154,MO_KANSAS CITY,6,108982.0,0.906497,"(0.4488922457200403, 0.1800100704934542, 0.08408862034239678, 0.12982544478012756, 0.04691171534071836, 0.11027190332326284)","(0.3835005432737635, 0.18579117148425775, 0.04625225659432882, 0.0703000477742687, 0.19177352459952057, 0.12238245627386071)","(0.3172323640452314, 0.2177013154406589, 0.037680655983472436, 0.09263846864058943, 0.2081577431828362, 0.1265894527072116)","(0.39980182658522434, 0.1827432676449306, 0.03786807126420297, 0.07587955749962516, 0.19467930456776683, 0.10902797243825008)","(0.3025723346775772, 0.2423554285266826, 0.0529344974746486, 0.05861164402333503, 0.05246466465682628, 0.29106143064093026)","(0.32657725102050467, 0.25059496603571374, 0.10936342574351053, 0.09207394915601506, 0.11346120506233352, 0.10792920298192249)"
155,MO_SAINT LOUIS,5,205090.0,0.926906,"(0.25122223774270147, 0.307515016063696, 0.21204078781952787, 0.08646459002654001, 0.14275736834753458)","(0.4055008245205498, 0.2747323066422081, 0.16297998349487858, 0.0512247182581654, 0.10556216708419819)","(0.31120042076355736, 0.39274744952242535, 0.16004673366228905, 0.05557049997791794, 0.08043489607381028)","(0.4060118197062146, 0.28878063382999175, 0.16571209403378462, 0.037145309419515375, 0.10235014301049367)","(0.2976222104144527, 0.34212274176408075, 0.20892003188097769, 0.10351354941551541, 0.04782146652497343)","(0.37242738144008114, 0.08127036148338893, 0.2916057041415501, 0.16843214139404225, 0.08626441154093756)"
156,MO_SPRINGFIELD,2,92761.0,0.998219,"(0.5462809917355372, 0.4537190082644628)","(0.32847725571810826, 0.6715227442818917)","(0.5144075534929257, 0.48559244650707434)","(0.3471575966012543, 0.6528424033987457)","(0.37225956680286454, 0.6277404331971355)","(0.4153755348974473, 0.5846244651025527)"
157,MS_GULFPORT,2,20403.0,0.869657,"(0.8701298701298701, 0.12987012987012986)","(0.6349375834183874, 0.36506241658161265)","(0.8487581452450657, 0.15124185475493437)","(0.5932304714188112, 0.4067695285811888)","(0.5627802690582959, 0.437219730941704)","(0.5879305459991095, 0.41206945400089046)"
158,MS_JACKSON,2,101743.0,0.987351,"(0.47184555274649503, 0.5281544472535049)","(0.4913885898815931, 0.5086114101184069)","(0.5470001980067323, 0.4529998019932678)","(0.4723734938546249, 0.5276265061453751)","(0.6303118435934723, 0.3696881564065277)","(0.48602267432831187, 0.5139773256716882)"
159,MT_BILLINGS,2,44003.0,0.995692,"(0.5519649236765184, 0.44803507632348166)","(0.575777570476212, 0.4242224295237878)","(0.5903590247387693, 0.40964097526123067)","(0.5755126509012733, 0.42448734909872665)","(0.5779348898388688, 0.4220651101611312)","(0.6286442255867509, 0.3713557744132491)"
160,NC_CHARLOTTE,4,129410.0,0.834844,"(0.22002189272564435, 0.255547815703055, 0.5132849039705444, 0.011145387600756293)","(0.40235995752980064, 0.11422776777937584, 0.45539248538518107, 0.02801978930564236)","(0.32946837173088667, 0.1372957591848852, 0.5123034611011219, 0.020932407983106197)","(0.34790117688019095, 0.12835278003014353, 0.4957373023835374, 0.028008740706128115)","(0.23765014870032058, 0.11664284886640146, 0.6226101734193349, 0.023096829013943068)","(0.028891673628515732, 0.2517230576441103, 0.7084551656920078, 0.010930103035366193)"
161,NC_DURHAM,2,74673.0,0.867318,"(0.6382719062728825, 0.3617280937271174)","(0.7729202133696516, 0.22707978663034842)","(0.7735650816522575, 0.22643491834774254)","(0.7533400958895796, 0.2466599041104204)","(0.8701400706898809, 0.12985992931011914)","(0.5684977302319034, 0.4315022697680966)"
162,NC_HENDERSONVILLE,2,14872.0,0.987614,"(0.5673854447439353, 0.4326145552560647)","(0.7878156010551438, 0.2121843989448562)","(0.8032743827700928, 0.1967256172299072)","(0.7264653641207816, 0.27353463587921845)","(0.8722397476340694, 0.1277602523659306)","(0.4697258760919771, 0.5302741239080229)"
163,NC_RALEIGH,3,96346.0,0.901094,"(0.5694597574421169, 0.1243109151047409, 0.30622932745314224)","(0.49384644191568866, 0.16552049909356303, 0.3406330589907484)","(0.4906479760846732, 0.1550860466995233, 0.3542659772158035)","(0.4937879108191176, 0.14963491779552143, 0.35657717138536094)","(0.3132979486443839, 0.05415291923683833, 0.6325491321187778)","(0.7002310452750422, 0.1419535615383355, 0.15781539318662233)"
164,NC_WINSTON-SALEM,2,88172.0,0.913895,"(0.6452104942037828, 0.3547895057962172)","(0.5532928814562675, 0.4467071185437324)","(0.6021570906204824, 0.39784290937951755)","(0.5860767401449968, 0.4139232598550032)","(0.45170612813370475, 0.5482938718662953)","(0.1565581638886465, 0.8434418361113535)"
165,ND_BISMARCK,2,28473.0,0.963415,"(0.43731050472623506, 0.5626894952737649)","(0.49256580269238504, 0.5074341973076151)","(0.3868413950280385, 0.6131586049719615)","(0.4159897997733283, 0.5840102002266717)","(0.5043177892918825, 0.49568221070811747)","(0.6035110254763434, 0.3964889745236566)"
166,ND_FARGO,2,40876.0,0.818688,"(0.7971293541046736, 0.20287064589532644)","(0.7567992323980943, 0.2432007676019058)","(0.8107842655797279, 0.18921573442027206)","(0.7862292585268795, 0.21377074147312053)","(0.7352840936754467, 0.2647159063245533)","(0.8105655108215034, 0.18943448917849662)"
167,NE_LINCOLN,2,44161.0,0.753425,"(0.5885323826500297, 0.4114676173499703)","(0.8575873474373034, 0.14241265256269672)","(0.7991857394366197, 0.20081426056338028)","(0.7465677680377613, 0.2534322319622387)","(0.6056834884860363, 0.39431651151396374)","(0.5045411542100284, 0.4954588457899716)"
168,NE_OMAHA,3,114652.0,0.959171,"(0.5625823451910409, 0.25691699604743085, 0.18050065876152832)","(0.7193883050390729, 0.152303961196443, 0.12830773376448396)","(0.7332255189940262, 0.16323971088154723, 0.10353477012442655)","(0.7518427518427518, 0.14622674622674622, 0.10193050193050193)","(0.8291420118343196, 0.1208086785009862, 0.05004930966469428)","(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)"
169,NH_MANCHESTER,2,23277.0,0.99449,"(0.6215827338129496, 0.37841726618705035)","(0.5481322336960289, 0.4518677663039712)","(0.5656217449531273, 0.43437825504687266)","(0.541949127991193, 0.458050872008807)","(0.4245049504950495, 0.5754950495049505)","(0.6591756763136774, 0.34082432368632265)"
170,NJ_CAMDEN,2,66192.0,0.836239,"(0.7061717352415027, 0.2938282647584973)","(0.7097082675357195, 0.2902917324642806)","(0.7161837148652564, 0.28381628513474355)","(0.6730777413727076, 0.32692225862729246)","(0.5289596486412298, 0.47104035135877026)","(0.5689982015262723, 0.4310017984737277)"
171,NJ_JERSEY CITY,2,29476.0,0.97862,"(0.5187353629976581, 0.4812646370023419)","(0.3186732959909371, 0.6813267040090629)","(0.31826172156422006, 0.6817382784357799)","(0.3481388157141221, 0.6518611842858779)","(0.3548387096774194, 0.6451612903225806)","(0.2827959740702832, 0.7172040259297168)"
172,NJ_NEW BRUNSWICK,2,58633.0,0.878101,"(0.6090712742980562, 0.39092872570194387)","(0.6511850649350649, 0.3488149350649351)","(0.762743628185907, 0.23725637181409295)","(0.6370039915473116, 0.3629960084526884)","(0.8959362444839624, 0.10406375551603768)","(0.6169704715140916, 0.3830295284859084)"
173,NJ_NEWARK,2,54752.0,0.995943,"(0.648936170212766, 0.35106382978723405)","(0.5575505575505576, 0.44244944244944245)","(0.5785863712747351, 0.42141362872526494)","(0.5859534560611324, 0.41404654393886764)","(0.618342644320298, 0.38165735567970205)","(0.5008239894012344, 0.49917601059876565)"
174,NM_ALBUQUERQUE,3,108360.0,0.914252,"(0.4623232089033156, 0.32946904706700675, 0.2082077440296777)","(0.4671210210244958, 0.31935942978142395, 0.21351954919408028)","(0.5329764121663563, 0.29584367887440516, 0.17117990895923857)","(0.4664621005315983, 0.3465548736684387, 0.18698302579996307)","(0.5760159893404397, 0.37401732178547636, 0.049966688874083946)","(0.4641259965000972, 0.1785339296130663, 0.3573400738868365)"
175,NV_HENDERSON,2,67068.0,0.989018,"(0.6206375585435866, 0.37936244145641335)","(0.662092463505361, 0.3379075364946391)","(0.6718098911827035, 0.3281901088172965)","(0.7008261005960472, 0.2991738994039527)","(0.68681018467927, 0.31318981532073)","(0.4680192819627311, 0.5319807180372689)"
176,NV_LAS VEGAS,8,363346.0,0.966599,"(0.08415064731267163, 0.6826206355433503, 0.026480972930561005, 0.08160062769713614, 0.032561788936837976, 0.04080031384856807, 0.0239309533150255, 0.02785406041584935)","(0.2647935959817925, 0.1239993721550777, 0.10014126510751845, 0.1411081462878669, 0.16025741641814473, 0.0927640872704442, 0.023073300894679013, 0.09386281588447654)","(0.30830695009799486, 0.05970149253731343, 0.09075832956429972, 0.19840192974521334, 0.13674053972561434, 0.08578320518619026, 0.020503542891602593, 0.09980401025177145)","(0.31965083653746235, 0.08209498077522602, 0.08043229762028474, 0.17385430738854826, 0.12979320378260417, 0.11368596071911047, 0.01527590148602307, 0.08521251169074093)","(0.12144720582177675, 0.7382260057668543, 0.018536317451599615, 0.05327474941644927, 0.022312233969518057, 0.025195661128655775, 0.009886035974186462, 0.011121790470959769)","(0.287378640776699, 0.15922330097087378, 0.0854368932038835, 0.1255663430420712, 0.08220064724919093, 0.12815533980582525, 0.04336569579288026, 0.08867313915857605)"
177,NV_RENO,2,55498.0,0.651353,"(0.959729381443299, 0.040270618556701034)","(0.8109640831758034, 0.1890359168241966)","(0.8203240058910162, 0.1796759941089838)","(0.8148148148148148, 0.18518518518518517)","(0.9465915403539401, 0.053408459646059836)","(0.7807692307692308, 0.21923076923076923)"
178,NY_BINGHAMTON,2,50866.0,0.935671,"(0.4155522535908866, 0.5844477464091135)","(0.44847605224963716, 0.5515239477503628)","(0.41685772897309037, 0.5831422710269096)","(0.5337391644862142, 0.4662608355137858)","(0.29878048780487804, 0.7012195121951219)","(0.48718222602008115, 0.5128177739799188)"
179,NY_BRONX,4,185284.0,0.733582,"(0.7015604681404422, 0.12527091460771564, 0.10078023407022106, 0.07238838318162115)","(0.38966257934933546, 0.3114244445546518, 0.22679651854790714, 0.07211645754810553)","(0.6487343317994861, 0.10377404574186426, 0.14761081313442168, 0.09988080932422795)","(0.5084344611784312, 0.23533166091959118, 0.16437522345634142, 0.0918586544456362)","(0.5695506572699555, 0.12815514569900535, 0.16834108062178238, 0.13395311640925675)","(0.47048183650865744, 0.23378672340018647, 0.18303731503836684, 0.11269412505278927)"
180,NY_BROOKLYN,9,240557.0,0.951588,"(0.05076923076923077, 0.03658119658119658, 0.44358974358974357, 0.10051282051282051, 0.05931623931623932, 0.03572649572649573, 0.06341880341880342, 0.18034188034188034, 0.029743589743589743)","(0.02694027268323067, 0.08227974254273653, 0.13366461346806008, 0.19003114402380786, 0.2219530763374628, 0.04630078206104229, 0.019199944632846563, 0.14511177244099938, 0.13451865180981382)","(0.03741440515217939, 0.07951349149386044, 0.23566468157746698, 0.09998351147407422, 0.16087466780469825, 0.06344687784912029, 0.02576089697581036, 0.2372407906733138, 0.060100676999476244)","(0.03155109553165785, 0.11245854763339756, 0.16548784739583192, 0.15134201614581502, 0.18202825382496898, 0.05966708378040178, 0.017424183047164483, 0.15999329735164308, 0.12004767528911928)","(0.0466326804400322, 0.11832573115105983, 0.1950898846257043, 0.15030855916286556, 0.12809229943654413, 0.05280386369734371, 0.034504963777837405, 0.20799570700295145, 0.0662463107056614)","(0.030101466443965358, 0.08486685748342616, 0.15127991935661886, 0.12329754905928318, 0.18815072071342903, 0.11047996056126616, 0.03775375808457254, 0.16292759019035075, 0.11114217810708793)"
181,NY_BUFFALO,4,134042.0,0.80046,"(0.44633467367769875, 0.37333745746984226, 0.16609959789669038, 0.014228270955768636)","(0.5031763298815413, 0.16882328547302372, 0.2755022928473979, 0.052498091798037105)","(0.49057106030038106, 0.07712676529926026, 0.35652039901367405, 0.0757817753866846)","(0.5372369368855815, 0.10762461975363663, 0.295283649535931, 0.05985479382485088)","(0.47306019684138245, 0.3829709315632868, 0.11581597619592585, 0.0281528953994049)","(0.4487883423234844, 0.20146526044601884, 0.3497463972304967, 0.0)"
182,NY_FLUSHING,2,68961.0,0.756298,"(0.7149012567324955, 0.2850987432675045)","(0.6379498912592555, 0.36205010874074445)","(0.716749178664971, 0.283250821335029)","(0.6038256035180058, 0.39617439648199415)","(0.5543866747589183, 0.44561332524108166)","(0.7326690623979092, 0.2673309376020908)"
183,NY_JAMAICA,2,41595.0,0.924881,"(0.7236024844720497, 0.27639751552795033)","(0.30891774312854436, 0.6910822568714556)","(0.6814924070881027, 0.3185075929118973)","(0.5114155251141552, 0.4885844748858447)","(0.799646695127337, 0.20035330487266304)","(0.5269112022487443, 0.47308879775125573)"
184,NY_NEW YORK,10,514571.0,0.851964,"(0.19338335607094134, 0.06234652114597544, 0.2697135061391542, 0.04836289222373806, 0.027694406548431104, 0.0708731241473397, 0.009549795361527967, 0.05995907230559345, 0.23669849931787176, 0.02141882673942701)","(0.16726245182518448, 0.09682630154514851, 0.3184990022291167, 0.04049159892149346, 0.03914917817192126, 0.052352505090408716, 0.041467789518581905, 0.1325753151991226, 0.05589865389790748, 0.05547720360111507)","(0.21255161476399134, 0.0948067899383743, 0.3640893656463698, 0.04456715132162714, 0.058907418371431486, 0.05720278038631358, 0.016046427033123246, 0.0761227400229213, 0.05547531242818071, 0.020230400087667095)","(0.19471696533862481, 0.10095473267238982, 0.35158559973608217, 0.04741412206692976, 0.052515220821936694, 0.06003638718127365, 0.035574747591626515, 0.06456755139873999, 0.05748337588352163, 0.03515129730887498)","(0.18117400806476436, 0.0458829685720442, 0.3412072521316219, 0.057536860898205436, 0.020438944808692707, 0.028903869240003693, 0.010034783144026841, 0.04252162403422908, 0.24412226429033151, 0.02817742481608028)","(0.18646328878149462, 0.1451404695382646, 0.2830785716083609, 0.06588206527797255, 0.0, 0.10446129671380748, 0.032067255657076695, 0.07368133389427658, 0.0475111739175773, 0.06171454461116924)"
185,NY_PORT JEFFERSON,2,21701.0,0.934915,"(0.5092592592592593, 0.49074074074074076)","(0.43150585852741213, 0.5684941414725879)","(0.3404570863596608, 0.6595429136403392)","(0.3957213384530993, 0.6042786615469007)","(0.4190954773869347, 0.5809045226130654)","(0.3316069428891377, 0.6683930571108623)"
186,NY_ROCHESTER,4,162746.0,0.98599,"(0.1096938775510204, 0.2302295918367347, 0.035076530612244895, 0.625)","(0.09911999647495012, 0.19790637215714169, 0.04437786016882471, 0.6585957711990835)","(0.08990877253664231, 0.1997636444867194, 0.04330782423220488, 0.6670197587444334)","(0.08824256660691104, 0.1973274814036389, 0.037089695246337394, 0.6773402567431126)","(0.10519810031878213, 0.08353392752586039, 0.07156333355019193, 0.7397046386051656)","(0.09719868616498253, 0.22659469863386264, 0.051967614385238184, 0.6242390008159167)"
187,NY_SYRACUSE,3,78049.0,0.985905,"(0.36139896373056996, 0.11463730569948187, 0.5239637305699482)","(0.3101361573373676, 0.15692476963278779, 0.5329390730298446)","(0.33100431435750105, 0.08405489544439884, 0.5849407901981001)","(0.3496562093755384, 0.1201700941312826, 0.530173696493179)","(0.358161648177496, 0.11206701381027848, 0.5297713380122255)","(0.3314995284501729, 0.12211175730902232, 0.5463887142408048)"
188,OH_AKRON,2,83234.0,0.960765,"(0.5602726991013325, 0.4397273008986675)","(0.6692306149464479, 0.3307693850535521)","(0.5831149406184881, 0.4168850593815118)","(0.6396097237007882, 0.36039027629921183)","(0.5908181350408782, 0.40918186495912184)","(1.0, 0.0)"
189,OH_CANTON,2,57216.0,0.999938,"(0.3860785107244031, 0.613921489275597)","(0.44405068207194526, 0.5559493179280548)","(0.45072290466355036, 0.5492770953364496)","(0.4649616855198236, 0.5350383144801765)","(0.4239549362585236, 0.5760450637414765)","(0.05028251062152337, 0.9497174893784767)"
190,OH_CINCINNATI,8,166063.0,0.936601,"(0.09038344491783323, 0.22793670115642117, 0.06847230675593427, 0.10854128626496247, 0.15134915804422805, 0.1613917630350984, 0.15134915804422805, 0.04057618178129438)","(0.13100469130053552, 0.17909919103550428, 0.07444900749518238, 0.0692548906931929, 0.2467019711388417, 0.1138618766192913, 0.11218995061006722, 0.07343842110738472)","(0.10465291023640252, 0.2409687301312063, 0.09394832668631871, 0.09374602624125773, 0.19091960002312006, 0.13352407375296227, 0.1015721634587596, 0.040668169469972835)","(0.14755908155983713, 0.18977878520757252, 0.08263023128909038, 0.0792217604835663, 0.19299836292658357, 0.1241531293287999, 0.12415732695294464, 0.05950132225160559)","(0.11068893638354574, 0.3694028866196997, 0.0629040344072403, 0.10084698804717802, 0.12665241826961132, 0.17066413361830127, 0.0588406026544236, 0.0)","(0.1730801998045001, 0.1336842766054758, 0.1836802410567757, 0.0733035001659059, 0.03102888556080675, 0.06936659821180353, 0.33585629859473226, 0.0)"
191,OH_CLEVELAND,4,141674.0,0.979407,"(0.12380525686977299, 0.30854241338112304, 0.2402927120669056, 0.32735961768219835)","(0.1801378382235997, 0.12646860917969943, 0.2508839181942377, 0.44250963440246316)","(0.10661278868022905, 0.13323564577171676, 0.256820899145084, 0.5033306664029702)","(0.14495379662002594, 0.13248278454261136, 0.26749735828717724, 0.45506606055018545)","(0.24772318891772765, 0.1376376453242824, 0.1883494847419102, 0.4262896810160797)","(0.66688277244062, 0.0, 0.33311722755937995, 0.0)"
192,OH_COLUMBUS,5,167421.0,0.947413,"(0.17108695652173914, 0.09456521739130434, 0.2773913043478261, 0.3770289855072464, 0.07992753623188406)","(0.25005426802017494, 0.1531826597714359, 0.22122411628253424, 0.31465874992019416, 0.0608802060056609)","(0.2558565416904566, 0.12865571274503584, 0.19503901541584723, 0.36756962507136964, 0.052879105077290704)","(0.2430250908511778, 0.11861327078718382, 0.24542848455891933, 0.3410936889197759, 0.051839464882943144)","(0.17345925384600971, 0.07461539902936272, 0.4400097438491952, 0.2830962954634887, 0.02881930781194371)","(0.13953975668979798, 0.34986626566910306, 0.3932282358161492, 0.0, 0.11736574182494977)"
193,OH_DAYTON,2,67841.0,0.896141,"(0.8494342906875544, 0.15056570931244562)","(0.8630839365054888, 0.13691606349451121)","(0.8164572850609589, 0.18354271493904104)","(0.819000613024411, 0.18099938697558907)","(0.8291928377238211, 0.17080716227617887)","(0.6479485070211138, 0.35205149297888616)"
194,OH_TOLEDO,3,100171.0,0.806965,"(0.09203346671516915, 0.4432520916696981, 0.46471444161513276)","(0.13881260674275656, 0.29783768329659255, 0.5633497099606509)","(0.14812596269039877, 0.2879391701914379, 0.5639348671181633)","(0.14004787754953996, 0.26219003518274475, 0.5977620872677153)","(0.04747074787560618, 0.4185611958891311, 0.5339680562352627)","(0.06129011745682803, 0.26481836432510014, 0.6738915182180718)"
195,OH_WARREN,2,27143.0,0.980813,"(0.2798708288482239, 0.7201291711517761)","(0.5661351123161262, 0.4338648876838738)","(0.47487473853188694, 0.525125261468113)","(0.37010065281281695, 0.629899347187183)","(0.4936369725385131, 0.506363027461487)","(0.07219856871093396, 0.927801431289066)"
196,OK_MUSKOGEE,2,22793.0,0.886489,"(0.9016245487364621, 0.0983754512635379)","(0.7639522689266177, 0.23604773107338223)","(0.6547687269750307, 0.3452312730249693)","(0.7290831740551206, 0.2709168259448795)","(0.6510078023407022, 0.3489921976592978)","(0.9944999276306267, 0.005500072369373281)"
197,OK_OKLAHOMA CITY,5,144064.0,0.981788,"(0.30229007633587784, 0.15114503816793892, 0.22595419847328244, 0.08549618320610687, 0.23511450381679388)","(0.40879932219801496, 0.1685427257322682, 0.34434761558944565, 0.0, 0.07831033648027112)","(0.18702928870292887, 0.40334728033472805, 0.2302649930264993, 0.0, 0.1793584379358438)","(0.34556126192223036, 0.30649303008070433, 0.22294570799706528, 0.0, 0.125)","(0.22215941209723009, 0.24053137365743357, 0.2675240248728095, 0.22328999434708874, 0.0464951950254381)","(0.23375400263703144, 0.09530985119608212, 0.4759841778112639, 0.032021096251648146, 0.1629308721039744)"
198,OK_TULSA,4,154715.0,0.841737,"(0.16290726817042606, 0.5413533834586466, 0.19298245614035087, 0.10275689223057644)","(0.061910261104695385, 0.4902825113370702, 0.33292961158211987, 0.1148776159761147)","(0.2170005136106831, 0.37938709125149805, 0.3634651600753296, 0.0401472350624893)","(0.12823600240818783, 0.47987773815588386, 0.28527763627101377, 0.10660862316491455)","(0.19523135033050046, 0.34560906515580736, 0.442162417374882, 0.0169971671388102)","(0.40087010565568676, 0.17899316345556246, 0.3132380360472343, 0.10689869484151647)"
199,OR_HILLSBORO,2,15086.0,0.985326,"(0.2978395061728395, 0.7021604938271605)","(0.4403989361702128, 0.5596010638297872)","(0.5618353084168946, 0.43816469158310545)","(0.4723494581610993, 0.5276505418389007)","(0.34504331087584217, 0.6549566891241578)","(0.44576884672990513, 0.5542311532700949)"
