,state,date,23005,23019,23031,total_cnts
65,ME,2021-06-12,0.0,0.0,0.0,2.0
554,ME,2021-06-13,0.0,0.0,1.0,2.0
393,ME,2021-06-14,1.0,1.0,0.0,2.0
628,ME,2021-06-15,0.0,1.0,1.0,2.0
394,ME,2021-06-19,1.0,0.0,0.0,1.0
202,ME,2021-06-20,1.0,0.0,1.0,3.0
555,ME,2021-06-21,0.0,1.0,1.0,4.0
66,ME,2021-06-22,0.0,1.0,0.0,2.0
634,ME,2021-06-23,0.0,0.0,0.0,1.0
556,ME,2021-06-25,0.0,0.0,0.0,1.0
395,ME,2021-06-26,1.0,0.0,0.0,2.0
557,ME,2021-06-27,0.0,0.0,0.0,2.0
671,ME,2021-06-28,0.0,0.0,1.0,1.0
592,ME,2021-06-29,0.0,0.0,1.0,2.0
624,ME,2021-06-30,0.0,0.0,1.0,2.0
396,ME,2021-07-03,1.0,0.0,0.0,1.0
558,ME,2021-07-04,0.0,0.0,0.0,2.0
397,ME,2021-07-05,1.0,0.0,1.0,2.0
559,ME,2021-07-07,0.0,0.0,0.0,2.0
67,ME,2021-07-08,1.0,0.0,1.0,4.0
593,ME,2021-07-09,0.0,0.0,0.0,1.0
398,ME,2021-07-10,1.0,0.0,0.0,1.0
625,ME,2021-07-11,0.0,0.0,0.0,1.0
399,ME,2021-07-12,1.0,0.0,1.0,4.0
672,ME,2021-07-14,0.0,0.0,1.0,1.0
673,ME,2021-07-18,0.0,0.0,1.0,1.0
203,ME,2021-07-19,0.0,0.0,0.0,2.0
204,ME,2021-07-20,0.0,0.0,0.0,2.0
604,ME,2021-07-22,0.0,0.0,1.0,2.0
400,ME,2021-07-23,1.0,0.0,1.0,2.0
205,ME,2021-07-24,1.0,1.0,1.0,5.0
674,ME,2021-07-25,0.0,0.0,1.0,1.0
68,ME,2021-07-27,0.0,0.0,1.0,4.0
401,ME,2021-07-28,1.0,0.0,1.0,2.0
402,ME,2021-07-29,1.0,0.0,1.0,2.0
403,ME,2021-07-30,1.0,0.0,1.0,2.0
643,ME,2021-08-01,0.0,0.0,1.0,2.0
206,ME,2021-08-03,1.0,0.0,0.0,2.0
404,ME,2021-08-04,1.0,0.0,0.0,3.0
605,ME,2021-08-05,0.0,0.0,0.0,1.0
405,ME,2021-08-06,1.0,0.0,0.0,1.0
629,ME,2021-08-07,0.0,1.0,1.0,2.0
406,ME,2021-08-08,1.0,1.0,0.0,2.0
69,ME,2021-08-09,1.0,1.0,1.0,5.0
70,ME,2021-08-10,0.0,1.0,0.0,3.0
71,ME,2021-08-11,0.0,1.0,1.0,9.0
618,ME,2021-08-12,0.0,0.0,1.0,3.0
72,ME,2021-08-13,0.0,1.0,0.0,5.0
407,ME,2021-08-14,1.0,1.0,1.0,4.0
73,ME,2021-08-15,1.0,1.0,1.0,8.0
207,ME,2021-08-16,1.0,1.0,0.0,6.0
208,ME,2021-08-17,1.0,0.0,1.0,4.0
408,ME,2021-08-18,1.0,4.0,5.0,16.0
409,ME,2021-08-19,1.0,1.0,0.0,5.0
209,ME,2021-08-20,1.0,1.0,1.0,5.0
210,ME,2021-08-21,1.0,1.0,0.0,8.0
211,ME,2021-08-22,1.0,1.0,1.0,6.0
212,ME,2021-08-23,0.0,1.0,0.0,4.0
410,ME,2021-08-24,1.0,1.0,1.0,9.0
213,ME,2021-08-25,1.0,1.0,0.0,6.0
214,ME,2021-08-26,1.0,1.0,1.0,8.0
74,ME,2021-08-27,1.0,1.0,1.0,9.0
215,ME,2021-08-28,1.0,1.0,1.0,6.0
411,ME,2021-08-29,1.0,1.0,0.0,4.0
412,ME,2021-08-30,1.0,1.0,4.0,9.0
216,ME,2021-08-31,1.0,6.0,1.0,10.0
217,ME,2021-09-01,0.0,1.0,5.0,8.0
413,ME,2021-09-02,1.0,1.0,1.0,5.0
414,ME,2021-09-03,1.0,1.0,1.0,5.0
415,ME,2021-09-04,5.0,1.0,1.0,10.0
218,ME,2021-09-05,0.0,1.0,1.0,6.0
75,ME,2021-09-06,0.0,1.0,1.0,7.0
416,ME,2021-09-07,1.0,1.0,1.0,5.0
219,ME,2021-09-08,5.0,1.0,4.0,14.0
220,ME,2021-09-09,1.0,4.0,1.0,9.0
221,ME,2021-09-10,0.0,5.0,1.0,7.0
222,ME,2021-09-11,0.0,5.0,4.0,14.0
223,ME,2021-09-12,1.0,5.0,1.0,11.0
417,ME,2021-09-13,1.0,8.0,1.0,13.0
418,ME,2021-09-14,1.0,5.0,1.0,9.0
419,ME,2021-09-15,1.0,7.0,5.0,15.0
420,ME,2021-09-16,4.0,5.0,5.0,16.0
76,ME,2021-09-17,1.0,7.0,1.0,18.0
421,ME,2021-09-18,1.0,4.0,4.0,12.0
77,ME,2021-09-19,1.0,1.0,1.0,6.0
606,ME,2021-09-20,0.0,1.0,0.0,7.0
224,ME,2021-09-21,4.0,1.0,7.0,16.0
422,ME,2021-09-22,1.0,1.0,4.0,9.0
423,ME,2021-09-23,1.0,1.0,4.0,7.0
78,ME,2021-09-24,1.0,4.0,1.0,8.0
594,ME,2021-09-25,0.0,1.0,1.0,8.0
424,ME,2021-09-26,1.0,4.0,4.0,14.0
560,ME,2021-09-27,0.0,1.0,4.0,7.0
79,ME,2021-09-28,1.0,1.0,4.0,18.0
225,ME,2021-09-29,1.0,1.0,1.0,7.0
80,ME,2021-09-30,1.0,1.0,1.0,6.0
561,ME,2021-10-01,0.0,1.0,1.0,7.0
425,ME,2021-10-02,1.0,1.0,1.0,5.0
81,ME,2021-10-03,1.0,0.0,1.0,6.0
426,ME,2021-10-04,1.0,0.0,1.0,5.0
427,ME,2021-10-05,1.0,0.0,1.0,5.0
428,ME,2021-10-06,1.0,1.0,4.0,11.0
82,ME,2021-10-07,1.0,0.0,1.0,9.0
83,ME,2021-10-08,6.0,5.0,0.0,17.0
84,ME,2021-10-09,1.0,0.0,1.0,5.0
226,ME,2021-10-10,1.0,0.0,0.0,5.0
429,ME,2021-10-11,1.0,1.0,6.0,13.0
85,ME,2021-10-12,1.0,0.0,1.0,6.0
430,ME,2021-10-13,1.0,1.0,0.0,5.0
431,ME,2021-10-14,1.0,1.0,1.0,6.0
432,ME,2021-10-15,1.0,0.0,1.0,8.0
86,ME,2021-10-16,1.0,1.0,1.0,6.0
433,ME,2021-10-17,1.0,0.0,1.0,8.0
434,ME,2021-10-18,5.0,0.0,1.0,11.0
87,ME,2021-10-19,5.0,1.0,1.0,13.0
88,ME,2021-10-20,1.0,1.0,1.0,8.0
89,ME,2021-10-21,5.0,1.0,1.0,13.0
90,ME,2021-10-22,1.0,5.0,6.0,19.0
435,ME,2021-10-23,1.0,1.0,5.0,13.0
436,ME,2021-10-24,5.0,0.0,1.0,9.0
437,ME,2021-10-25,1.0,0.0,1.0,5.0
438,ME,2021-10-26,1.0,4.0,4.0,13.0
574,ME,2021-10-27,0.0,1.0,1.0,8.0
91,ME,2021-10-28,0.0,0.0,4.0,8.0
92,ME,2021-10-29,4.0,1.0,1.0,13.0
439,ME,2021-10-30,1.0,1.0,1.0,9.0
440,ME,2021-10-31,1.0,1.0,1.0,7.0
441,ME,2021-11-01,4.0,1.0,6.0,16.0
442,ME,2021-11-02,1.0,0.0,7.0,12.0
93,ME,2021-11-03,1.0,1.0,1.0,10.0
443,ME,2021-11-04,1.0,1.0,1.0,8.0
227,ME,2021-11-05,1.0,1.0,4.0,12.0
228,ME,2021-11-06,1.0,0.0,5.0,12.0
94,ME,2021-11-07,1.0,1.0,1.0,4.0
95,ME,2021-11-08,4.0,1.0,1.0,13.0
229,ME,2021-11-09,1.0,0.0,1.0,9.0
96,ME,2021-11-10,4.0,4.0,1.0,19.0
444,ME,2021-11-11,4.0,1.0,10.0,23.0
230,ME,2021-11-12,1.0,1.0,1.0,8.0
97,ME,2021-11-13,1.0,1.0,8.0,18.0
98,ME,2021-11-14,1.0,1.0,6.0,15.0
99,ME,2021-11-15,1.0,1.0,5.0,11.0
445,ME,2021-11-16,1.0,0.0,4.0,7.0
231,ME,2021-11-17,10.0,1.0,1.0,17.0
100,ME,2021-11-18,7.0,4.0,4.0,22.0
101,ME,2021-11-19,6.0,1.0,7.0,20.0
102,ME,2021-11-20,7.0,1.0,4.0,19.0
446,ME,2021-11-21,4.0,0.0,4.0,13.0
103,ME,2021-11-22,4.0,1.0,1.0,17.0
