,state,date,41005,41029,41035,41043,41047,41051,41067,total_cnts
592,OR,2021-01-26,0.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0
647,OR,2021-01-27,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0
648,OR,2021-01-28,0.0,1.0,1.0,1.0,1.0,7.0,1.0,16.0
527,OR,2021-01-29,0.0,0.0,1.0,1.0,0.0,5.0,0.0,12.0
276,OR,2021-01-30,1.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0
528,OR,2021-01-31,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0
277,OR,2021-02-01,1.0,0.0,1.0,1.0,0.0,6.0,1.0,14.0
278,OR,2021-02-02,4.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
50,OR,2021-02-03,1.0,1.0,1.0,0.0,1.0,4.0,0.0,17.0
51,OR,2021-02-04,1.0,1.0,1.0,0.0,1.0,1.0,0.0,9.0
554,OR,2021-02-05,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0
620,OR,2021-02-06,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0
568,OR,2021-02-07,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0
529,OR,2021-02-08,0.0,0.0,1.0,1.0,1.0,4.0,1.0,12.0
649,OR,2021-02-09,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0
569,OR,2021-02-10,0.0,0.0,0.0,0.0,1.0,4.0,0.0,11.0
530,OR,2021-02-11,0.0,1.0,1.0,1.0,1.0,5.0,0.0,14.0
279,OR,2021-02-12,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
570,OR,2021-02-13,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0
280,OR,2021-02-14,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0
281,OR,2021-02-15,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0
282,OR,2021-02-16,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0
52,OR,2021-02-17,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
621,OR,2021-02-18,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0
283,OR,2021-02-19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0
284,OR,2021-02-20,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
593,OR,2021-02-21,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0
53,OR,2021-02-22,0.0,1.0,5.0,1.0,1.0,1.0,1.0,15.0
594,OR,2021-02-23,0.0,1.0,1.0,0.0,1.0,1.0,0.0,9.0
595,OR,2021-02-24,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0
531,OR,2021-02-25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0
622,OR,2021-02-26,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0
515,OR,2021-02-27,0.0,1.0,1.0,1.0,1.0,4.0,0.0,11.0
285,OR,2021-02-28,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
532,OR,2021-03-01,0.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0
533,OR,2021-03-02,0.0,1.0,1.0,0.0,1.0,1.0,1.0,10.0
516,OR,2021-03-03,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0
715,OR,2021-03-04,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
716,OR,2021-03-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
684,OR,2021-03-06,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
571,OR,2021-03-07,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
555,OR,2021-03-08,0.0,1.0,0.0,0.0,0.0,4.0,1.0,10.0
623,OR,2021-03-09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
556,OR,2021-03-10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
534,OR,2021-03-11,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
286,OR,2021-03-12,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0
650,OR,2021-03-13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0
287,OR,2021-03-14,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0
288,OR,2021-03-15,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0
685,OR,2021-03-16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0
686,OR,2021-03-17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0
624,OR,2021-03-18,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0
289,OR,2021-03-19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0
290,OR,2021-03-20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
687,OR,2021-03-21,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
291,OR,2021-03-22,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0
292,OR,2021-03-23,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
293,OR,2021-03-24,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0
294,OR,2021-03-25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
295,OR,2021-03-26,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0
296,OR,2021-03-27,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
535,OR,2021-03-28,0.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0
297,OR,2021-03-29,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0
298,OR,2021-03-30,1.0,0.0,1.0,0.0,0.0,1.0,1.0,8.0
299,OR,2021-03-31,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0
