,state,date,12001,12005,12009,12011,12015,12017,12019,12021,12023,12031,12033,12035,12053,12055,12057,12061,12069,12071,12073,12081,12083,12085,12086,12091,12095,12097,12099,12101,12103,12105,12109,12111,12115,12117,12119,12127,total_cnts
34,FL,2020-09-19,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,23,0.0,1.0,1.0,8.0,10.0,7.0,7.0,0.0,5.0,1.0,1.0,1.0,1.0,112.0
443,FL,2020-09-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,16,1.0,4.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0
35,FL,2020-09-21,1.0,1.0,4.0,14.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,17,1.0,6.0,1.0,11.0,1.0,6.0,7.0,1.0,5.0,1.0,1.0,1.0,4.0,112.0
36,FL,2020-09-22,1.0,0.0,1.0,13.0,1.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,34,1.0,1.0,9.0,6.0,6.0,4.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,121.0
37,FL,2020-09-23,1.0,1.0,4.0,13.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,28,0.0,1.0,5.0,11.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,4.0,116.0
444,FL,2020-09-24,0.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,23,0.0,1.0,6.0,7.0,1.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0
38,FL,2020-09-25,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,25,0.0,1.0,1.0,10.0,6.0,7.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,103.0
405,FL,2020-09-26,0.0,1.0,7.0,15.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,17,0.0,7.0,1.0,1.0,4.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,0.0,105.0
406,FL,2020-09-27,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,14.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,21,0.0,6.0,1.0,1.0,5.0,7.0,1.0,0.0,9.0,1.0,0.0,1.0,1.0,103.0
39,FL,2020-09-28,1.0,1.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,18,0.0,8.0,1.0,10.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,124.0
407,FL,2020-09-29,0.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,12.0,8.0,1.0,1.0,0.0,1.0,4.0,1.0,29,0.0,7.0,1.0,1.0,10.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,138.0
408,FL,2020-09-30,0.0,1.0,10.0,15.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,10.0,9.0,0.0,0.0,4.0,1.0,0.0,1.0,26,1.0,4.0,1.0,15.0,11.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,144.0
581,FL,2020-10-01,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,9.0,8.0,4.0,1.0,4.0,5.0,4.0,1.0,19,0.0,4.0,1.0,1.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,6.0,127.0
40,FL,2020-10-02,1.0,1.0,4.0,24.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,9.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,24,0.0,7.0,1.0,9.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,129.0
