,state,date,16001,16011,16027,total_cnts
216,ID,2021-08-19,1.0,1.0,1.0,6.0
217,ID,2021-08-20,1.0,0.0,1.0,4.0
218,ID,2021-08-21,1.0,1.0,1.0,9.0
219,ID,2021-08-22,1.0,1.0,1.0,10.0
220,ID,2021-08-23,1.0,1.0,1.0,17.0
221,ID,2021-08-24,1.0,1.0,1.0,12.0
222,ID,2021-08-25,1.0,1.0,0.0,8.0
223,ID,2021-08-26,1.0,0.0,1.0,7.0
224,ID,2021-08-27,1.0,1.0,0.0,12.0
225,ID,2021-08-28,1.0,0.0,1.0,8.0
226,ID,2021-08-29,4.0,0.0,1.0,10.0
227,ID,2021-08-30,1.0,0.0,1.0,9.0
228,ID,2021-08-31,1.0,0.0,0.0,10.0
229,ID,2021-09-01,1.0,0.0,1.0,9.0
230,ID,2021-09-02,1.0,0.0,0.0,12.0
231,ID,2021-09-03,1.0,0.0,1.0,13.0
232,ID,2021-09-04,1.0,0.0,0.0,10.0
233,ID,2021-09-05,5.0,0.0,1.0,14.0
443,ID,2021-09-06,0.0,1.0,1.0,14.0
234,ID,2021-09-07,1.0,1.0,7.0,21.0
235,ID,2021-09-08,1.0,4.0,1.0,21.0
236,ID,2021-09-09,4.0,1.0,1.0,12.0
237,ID,2021-09-10,1.0,1.0,1.0,15.0
238,ID,2021-09-11,1.0,1.0,0.0,10.0
239,ID,2021-09-12,1.0,1.0,1.0,6.0
240,ID,2021-09-13,1.0,1.0,1.0,17.0
241,ID,2021-09-14,1.0,1.0,1.0,19.0
444,ID,2021-09-15,0.0,1.0,1.0,21.0
242,ID,2021-09-16,1.0,1.0,1.0,20.0
445,ID,2021-09-17,0.0,0.0,1.0,28.0
243,ID,2021-09-18,5.0,0.0,1.0,14.0
244,ID,2021-09-19,6.0,0.0,1.0,16.0
245,ID,2021-09-20,1.0,0.0,1.0,19.0
246,ID,2021-09-21,1.0,0.0,5.0,26.0
247,ID,2021-09-22,4.0,0.0,5.0,22.0
248,ID,2021-09-23,1.0,0.0,1.0,14.0
249,ID,2021-09-24,1.0,1.0,5.0,23.0
250,ID,2021-09-25,4.0,0.0,1.0,14.0
251,ID,2021-09-26,5.0,1.0,1.0,12.0
252,ID,2021-09-27,8.0,1.0,4.0,28.0
253,ID,2021-09-28,1.0,1.0,1.0,15.0
254,ID,2021-09-29,1.0,1.0,1.0,17.0
255,ID,2021-09-30,8.0,0.0,1.0,19.0
256,ID,2021-10-01,1.0,1.0,1.0,14.0
257,ID,2021-10-02,4.0,1.0,5.0,20.0
446,ID,2021-10-03,0.0,0.0,0.0,7.0
258,ID,2021-10-04,4.0,1.0,1.0,15.0
259,ID,2021-10-05,4.0,1.0,1.0,19.0
260,ID,2021-10-06,1.0,1.0,6.0,16.0
261,ID,2021-10-07,1.0,1.0,5.0,20.0
262,ID,2021-10-08,1.0,1.0,1.0,13.0
447,ID,2021-10-09,0.0,1.0,1.0,8.0
448,ID,2021-10-10,0.0,1.0,1.0,7.0
263,ID,2021-10-11,1.0,4.0,4.0,24.0
264,ID,2021-10-12,1.0,1.0,0.0,6.0
265,ID,2021-10-13,1.0,1.0,1.0,8.0
449,ID,2021-10-14,0.0,1.0,5.0,15.0
266,ID,2021-10-15,1.0,1.0,1.0,13.0
267,ID,2021-10-16,1.0,1.0,1.0,13.0
450,ID,2021-10-17,0.0,1.0,0.0,8.0
268,ID,2021-10-18,1.0,1.0,1.0,9.0
269,ID,2021-10-19,1.0,1.0,0.0,9.0
270,ID,2021-10-20,4.0,1.0,1.0,12.0
271,ID,2021-10-21,1.0,1.0,0.0,19.0
272,ID,2021-10-22,1.0,1.0,1.0,10.0
273,ID,2021-10-23,1.0,0.0,1.0,10.0
274,ID,2021-10-24,1.0,1.0,0.0,7.0
275,ID,2021-10-25,1.0,0.0,1.0,8.0
451,ID,2021-10-26,0.0,1.0,1.0,12.0
452,ID,2021-10-27,0.0,1.0,0.0,7.0
276,ID,2021-10-28,1.0,1.0,1.0,12.0
277,ID,2021-10-29,4.0,1.0,1.0,12.0
278,ID,2021-10-30,1.0,1.0,1.0,13.0
453,ID,2021-10-31,0.0,1.0,1.0,5.0
279,ID,2021-11-01,1.0,1.0,0.0,6.0
280,ID,2021-11-02,1.0,0.0,0.0,3.0
281,ID,2021-11-03,1.0,0.0,1.0,9.0
526,ID,2021-11-04,0.0,1.0,0.0,6.0
282,ID,2021-11-05,5.0,1.0,0.0,11.0
283,ID,2021-11-06,1.0,1.0,0.0,9.0
284,ID,2021-11-07,1.0,1.0,1.0,8.0
285,ID,2021-11-08,1.0,1.0,1.0,7.0
286,ID,2021-11-09,1.0,1.0,1.0,9.0
527,ID,2021-11-10,0.0,1.0,1.0,6.0
473,ID,2021-11-11,0.0,1.0,1.0,8.0
