,state,date,48027,48029,48039,48061,48085,48113,48121,48135,48139,48141,48157,48167,48181,48183,48201,48203,48213,48215,48221,48231,48245,48251,48257,48291,48303,48339,48355,48367,48397,48423,48439,48453,48467,48469,48479,48491,48497,48499,total_cnts
25,TX,2020-09-06,1.0,6.0,1.0,1.0,5.0,15.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,13.0,0.0,1.0,15.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,116.0
26,TX,2020-09-07,1.0,12.0,1.0,1.0,8.0,24.0,7.0,0.0,1.0,6.0,1.0,5.0,1.0,1.0,27.0,0.0,1.0,17.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,8.0,17.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,184.0
576,TX,2020-09-08,1.0,15.0,1.0,5.0,11.0,18.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,17.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,24.0,1.0,0.0,1.0,4.0,1.0,1.0,4.0,194.0
532,TX,2020-09-09,1.0,10.0,1.0,4.0,4.0,17.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,25.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,147.0
27,TX,2020-09-10,1.0,10.0,1.0,4.0,5.0,20.0,11.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,19.0,0.0,1.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,16.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,152.0
473,TX,2020-09-11,0.0,11.0,4.0,6.0,5.0,19.0,5.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,19.0,1.0,1.0,18.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0,23.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,188.0
28,TX,2020-09-12,1.0,1.0,1.0,1.0,5.0,15.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,25.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,4.0,1.0,22.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,132.0
308,TX,2020-09-13,1.0,1.0,1.0,1.0,1.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,10.0,0.0,0.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,93.0
465,TX,2020-09-14,1.0,6.0,1.0,1.0,9.0,13.0,11.0,1.0,1.0,7.0,1.0,6.0,1.0,5.0,38.0,0.0,0.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0,6.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,211.0
29,TX,2020-09-15,0.0,8.0,1.0,1.0,8.0,21.0,9.0,1.0,1.0,14.0,1.0,4.0,1.0,4.0,17.0,0.0,0.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,172.0
